BERKELEY WEEKLY PAYOUT (2013)*,,,,,,,,,,,,,,,,,,,,,,#PLYRS,Weekly Payout @ $3 per player (2013)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PLYRS,$ TOT $,1st,2nd,3rd,4th,5th,6th,,,$ TOT $,1st,2nd,3rd,4th,5th,6th,,,,Percentage of Field Paid,,,$ TOT $,1st    $$,2nd    $$,3rd    $$,4th   $$,5th   $$,6th   $$,7th   $$,8th   $$,% Paid,[<< math check],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2,6,6,,,,,,,,,1.000,,,,,,,,,,,2,6,6,,,,,,,,,x,6,0,,,,,,,0.666666667,0.333333333,0,,,,,,,,,,,,,,,,,,,,,,
3,9,9,,,,,,,,,1.000,,,,,,,,,,,3,9,9,,,,,,,,,x,9,0,,,,,,,0.75,0.5,0.25,0,,,,,,,,,,,,,,,,,,,,,
4,12,8,5,,,,,,,12,0.625,0.375,,,,,,,,50.00%,,4,12,7,5,,,,,,,50%,x,12,0,,,,,,,0.8,0.6,0.4,0.2,0,,,,,,,,,,,,,,,,,,,,
5,15,9,6,,,,,,,15,0.625,0.375,,,,,,,,40.00%,,5,15,10,5,,,,,,,40%,x,15,0,,,,,,,0.833333333,0.666666667,0.5,0.333333333,0.166666667,0,,,,,,,,,,,,,,,,,,,
6,18,11,7,,,,,,,18,0.625,0.375,,,,,,,100%,33.33%,,6,18,12,6,,,,,,,33%,x,18,0,67%,33%,,,,100%,0.857142857,0.714285714,0.571428571,0.428571429,0.285714286,0.142857143,0,,,,,,,,,,,,,,,,,,
7,21,13,8,,,,,,,21,0.625,0.375,,,,,,,100%,28.57%,,7,21,14,7,,,,,,,29%,x,21,0,67%,33%,,,,100%,0.875,0.75,0.625,0.5,0.375,0.25,0.125,0,,,,,,,,,,,,,,,,,
8,24,11,7,5,,,,,,24,0.475,0.300,0.225,,,,,,100%,37.50%,,8,24,12,7,5,,,,,,38%,x,24,0,50%,29%,21%,,,100%,0.888888889,0.777777778,0.666666667,0.555555556,0.444444444,0.333333333,0.222222222,0.111111111,0,,,,,,,,,,,,,,,,
9,27,13,8,6,,,,,,27,0.475,0.300,0.225,,,,,,100%,33.33%,,9,27,13,8,6,,,,,,33%,x,27,0,48%,30%,22%,,,100%,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0,,,,,,,,,,,,,,,
10,30,14,9,7,,,,,,30,0.475,0.300,0.225,,,,,,100%,30.00%,,10,30,14,9,7,,,,,,30%,x,30,0,47%,30%,23%,,,100%,0.909090909,0.818181818,0.727272727,0.636363636,0.545454545,0.454545455,0.363636364,0.272727273,0.181818182,0.090909091,0,,,,,,,,,,,,,,
11,33,16,10,7,,,,,,33,0.475,0.300,0.225,,,,,,100%,27.27%,,11,33,16,10,7,,,,,,27%,x,33,0,48%,30%,21%,,,100%,0.916666667,0.833333333,0.75,0.666666667,0.583333333,0.5,0.416666667,0.333333333,0.25,0.166666667,0.083333333,0,,,,,,,,,,,,,
12,36,17,11,8,,,,,,36,0.475,0.300,0.225,,,,,,100%,25.00%,,12,36,18,12,6,,,,,,25%,x,36,0,50%,33%,17%,,,100%,0.923076923,0.846153846,0.769230769,0.692307692,0.615384615,0.538461538,0.461538462,0.384615385,0.307692308,0.230769231,0.153846154,0.076923077,0,,,,,,,,,,,,
13,39,19,12,9,,,,,,39,0.475,0.300,0.225,,,,,,100%,23.08%,,13,39,18,11,5,5,,,,,31%,x,39,0,46%,28%,13%,,,87%,0.928571429,0.857142857,0.785714286,0.714285714,0.642857143,0.571428571,0.5,0.428571429,0.357142857,0.285714286,0.214285714,0.142857143,0.071428571,0,,,,,,,,,,,
14,42,17,11,8,6,,,,,42,0.410,0.260,0.190,0.140,,,,,100%,28.57%,,14,42,18,12,7,5,,,,,29%,x,42,0,43%,29%,17%,12%,,100%,0.933333333,0.866666667,0.8,0.733333333,0.666666667,0.6,0.533333333,0.466666667,0.4,0.333333333,0.266666667,0.2,0.133333333,0.066666667,0,,,,,,,,,,
15,45,18,12,9,6,,,,,45,0.410,0.260,0.190,0.140,,,,,100%,26.67%,,15,45,18,12,9,6,,,,,27%,x,45,0,40%,27%,20%,13%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,
16,48,20,12,9,7,,,,,48,0.410,0.260,0.190,0.140,,,,,100%,25.00%,,16,48,20,12,9,7,,,,,25%,x,48,0,42%,25%,19%,15%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,
17,51,21,13,10,7,,,,,51,0.410,0.260,0.190,0.140,,,,,100%,23.53%,,17,51,21,13,10,7,,,,,24%,x,51,0,41%,25%,20%,14%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,
18,54,22,14,10,8,,,,,54,0.410,0.260,0.190,0.140,,,,,100%,22.22%,,18,54,23,14,10,7,,,,,22%,x,54,0,43%,26%,19%,13%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,
19,57,23,15,11,8,,,,,57,0.410,0.260,0.190,0.140,,,,,100%,21.05%,,19,57,24,15,11,7,,,,,21%,x,57,0,42%,26%,19%,12%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,
20,60,22,15,10,8,6,,,,60,0.360,0.245,0.170,0.125,0.100,,,,100%,25.00%,,20,60,24,14,10,7,5,,,,25%,x,60,0,40%,23%,17%,12%,,92%,,,,,,,,,,,,,,,,,,,,,,,,,
21,63,23,15,11,8,6,,,,63,0.360,0.245,0.170,0.125,0.100,,,,100%,23.81%,,21,63,25,15,11,7,5,,,,24%,x,63,0,40%,24%,17%,11%,8%,100%,,,,,,,,,,,,,,,,,,,,,,,,,
22,66,24,16,11,8,7,,,,66,0.360,0.245,0.170,0.125,0.100,,,,100%,22.73%,,22,66,25,16,11,8,6,,,,23%,x,66,0,38%,24%,17%,12%,9%,100%,,,,,,,,,,,,,,,,,,,,,,,,,
23,69,25,17,12,9,7,,,,69,0.360,0.245,0.170,0.125,0.100,,,,100%,21.74%,,23,69,26,16,12,9,6,,,,22%,x,69,0,38%,23%,17%,13%,9%,100%,,,,,,,,,,,,,,,,,,,,,,,,,
24,72,26,18,12,9,7,,,,72,0.360,0.245,0.170,0.125,0.100,,,,100%,20.83%,,24,72,26,18,12,9,7,,,,21%,x,72,0,36%,25%,17%,13%,10%,100%,,,,,,,,,,,,,,,,,,,,,,,,,
25,75,27,18,13,9,8,,,,75,0.360,0.245,0.170,0.125,0.100,,,,100%,20.00%,,25,75,27,19,13,9,7,,,,20%,x,75,0,36%,25%,17%,12%,9%,100%,,,,,,,,,,,,,,,,,,,,,,,,,
26,78,28,19,13,10,8,,,,78,0.360,0.245,0.170,0.125,0.100,,,,100%,19.23%,,26,78,28,20,13,10,7,,,,19%,x,78,0,36%,26%,17%,13%,9%,100%,,,,,,,,,,,,,,,,,,,,,,,,,
27,81,27,19,13,10,8,6,,,81,0.330,0.230,0.155,0.120,0.095,0.070,,,100%,22.22%,,27,81,27,18,13,10,7,6,,,22%,x,81,0,33%,22%,16%,12%,9%,93%,,,,,,,,,,,,,,,,,,,,,,,,,
28,84,28,19,13,10,8,6,,,84,0.330,0.230,0.155,0.120,0.095,0.070,,,100%,21.43%,,28,84,28,19,13,10,8,6,,,21%,x,84,0,33%,23%,15%,12%,10%,93%,,,,,,,,,,,,,,,,,,,,,,,,,
29,87,29,20,13,10,8,6,,,87,0.330,0.230,0.155,0.120,0.095,0.070,,,100%,20.69%,,29,87,30,20,13,10,8,6,,,21%,x,87,0,34%,23%,15%,11%,9%,93%,,,,,,,,,,,,,,,,,,,,,,,,,
30,90,30,21,14,11,9,6,,,90,0.330,0.230,0.155,0.120,0.095,0.070,,,100%,20.00%,,30,90,30,21,14,11,8,6,,,20%,x,90,0,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,93,31,21,14,11,9,7,,,93,0.330,0.230,0.155,0.120,0.095,0.070,,,100%,19.35%,,31,93,31,21,14,11,9,7,,,19%,x,93,0,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,96,32,22,15,12,9,7,,,96,0.330,0.230,0.155,0.120,0.095,0.070,,,100%,18.75%,,32,96,32,22,15,12,9,7,,,19%,x,97,1,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,99,33,23,15,12,9,7,,,99,0.330,0.230,0.155,0.120,0.095,0.070,,,100%,18.18%,,33,99,33,23,15,12,9,7,,,18%,x,99,0,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,102,34,23,16,12,10,7,,,102,0.330,0.230,0.155,0.120,0.095,0.070,,,100%,17.65%,,34,102,34,23,16,12,10,7,,,18%,x,102,0,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,105,32,22,16,12,10,8,6,,105,0.300,0.210,0.150,0.110,0.095,0.075,0.060,,100%,20.00%,,35,105,32,22,15,12,10,8,6,,20%,x,105,0,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,108,32,23,16,12,10,8,6,,108,0.300,0.210,0.150,0.110,0.095,0.075,0.060,,100%,19.44%,,36,108,32,23,16,13,10,8,6,,19%,x,108,0,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,111,33,23,17,12,11,8,7,,111,0.300,0.210,0.150,0.110,0.095,0.075,0.060,,100%,18.92%,,37,111,33,23,17,12,11,8,7,,19%,x,111,0,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,114,34,24,17,13,11,9,7,,114,0.300,0.210,0.150,0.110,0.095,0.075,0.060,,100%,18.42%,,38,114,34,24,17,13,11,9,6,,18%,x,114,0,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,117,35,25,18,13,11,9,7,,117,0.300,0.210,0.150,0.110,0.095,0.075,0.060,,100%,17.95%,,39,117,35,25,18,13,11,9,6,,18%,x,117,0,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,120,36,25,18,13,11,9,7,,120,0.300,0.210,0.150,0.110,0.095,0.075,0.060,,100%,17.50%,,40,120,37,25,18,13,11,9,7,,18%,x,120,0,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,123,37,26,18,14,12,9,7,,123,0.300,0.210,0.150,0.110,0.095,0.075,0.060,,100%,17.07%,,41,123,37,26,18,14,12,9,7,,17%,x,123,0,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,126,38,26,19,14,12,9,8,,126,0.300,0.210,0.150,0.110,0.095,0.075,0.060,,100%,16.67%,,42,126,39,26,19,14,12,9,7,,17%,x,126,0,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,129,36,25,19,15,12,9,8,6,129,0.280,0.190,0.145,0.115,0.090,0.070,0.060,0.050,100%,18.60%,,43,129,36,25,18,15,12,9,8,6,19%,x,129,0,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,132,37,25,19,15,12,9,8,7,132,0.280,0.190,0.145,0.115,0.090,0.070,0.060,0.050,100%,18.18%,,44,132,37,25,19,15,12,9,8,7,18%,x,132,0,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,135,38,26,20,16,12,9,8,7,135,0.280,0.190,0.145,0.115,0.090,0.070,0.060,0.050,100%,17.78%,,45,135,37,26,20,16,12,9,8,7,18%,x,135,0,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,138,39,26,20,16,12,10,8,7,138,0.280,0.190,0.145,0.115,0.090,0.070,0.060,0.050,100%,17.39%,,46,138,39,26,20,16,12,10,8,7,17%,x,138,0,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,141,39,27,20,16,13,10,8,7,141,0.280,0.190,0.145,0.115,0.090,0.070,0.060,0.050,100%,17.02%,,47,141,39,27,21,17,13,10,8,6,17%,x,141,0,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,144,40,27,21,17,13,10,9,7,144,0.280,0.190,0.145,0.115,0.090,0.070,0.060,0.050,100%,16.67%,,48,144,40,27,21,17,13,10,9,7,17%,x,144,0,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,147,41,28,21,17,13,10,9,7,147,0.280,0.190,0.145,0.115,0.090,0.070,0.060,0.050,100%,16.33%,,49,147,41,28,21,17,13,11,9,7,16%,x,147,0,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,150,42,29,22,17,14,11,9,8,150,0.280,0.190,0.145,0.115,0.090,0.070,0.060,0.050,100%,16.00%,,50,150,42,28,22,17,14,11,9,7,16%,x,150,0,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,* Based on 2013 PDGA payout table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
