**** Logging started on 3-Aug-19 8:39:34 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
3-Aug-19,8:40:34,1.3,0,2.1,0.1
3-Aug-19,8:41:34,2,0,6.4,2.5
3-Aug-19,8:42:34,0,0,3,0.8
3-Aug-19,8:43:34,0,0,3.4,1.1
3-Aug-19,8:44:34,2.3,0,2.5,0.6
3-Aug-19,8:45:34,0,0,5.5,2.7
3-Aug-19,8:46:34,1.8,0,2.9,1.7
3-Aug-19,8:47:34,0,0,2.4,1.2
3-Aug-19,8:48:34,1.4,0,2.9,1
3-Aug-19,8:49:34,0,0,3.9,1.4
3-Aug-19,8:50:34,3.8,0,3.8,1.9
3-Aug-19,8:51:34,1.4,0,6.2,2.7
3-Aug-19,8:52:34,0,0,3.2,1
3-Aug-19,8:53:34,0,0,2.3,0.9
3-Aug-19,8:54:34,1.7,0,4.6,1.7
3-Aug-19,8:55:34,0,0,3.5,0.7
3-Aug-19,8:56:34,3.5,0,3.5,1.4
3-Aug-19,8:57:34,0,0,4.2,1.9
3-Aug-19,8:58:34,2.9,0,3.1,1.5
3-Aug-19,8:59:34,1.8,0,3.3,1.6
3-Aug-19,9:00:34,3.9,0,3.9,1.4
3-Aug-19,9:01:34,4.4,0,5.2,2.8
3-Aug-19,9:02:34,2.1,0,4.1,2.1
3-Aug-19,9:03:34,0,0,4,1.8
3-Aug-19,9:04:34,2.5,0,3.5,2.2
3-Aug-19,9:05:34,2.7,0,4.2,2.5
3-Aug-19,9:06:34,4.8,0,6.9,4
3-Aug-19,9:07:34,1.7,0,5,3.7
3-Aug-19,9:08:34,1.4,0,4.5,2.6
3-Aug-19,9:09:34,4.6,0,5.2,2.9
3-Aug-19,9:10:34,1.4,0,4.1,3
3-Aug-19,9:11:34,2.5,0,3.2,1.6
3-Aug-19,9:12:34,3.8,0,5.2,3
3-Aug-19,9:13:34,3.1,0,4.2,2.2
3-Aug-19,9:14:34,2.8,0,2.8,1.5
3-Aug-19,9:15:34,1.7,0,4,2.5
3-Aug-19,9:16:34,1.4,0,3.3,1.4
3-Aug-19,9:17:34,2.5,0,3,1.7
3-Aug-19,9:18:34,0,0,4.5,2.8
3-Aug-19,9:19:34,2.4,0,3.1,1.9
3-Aug-19,9:20:34,0,0,4.9,1.5
3-Aug-19,9:21:34,0,0,3.7,1.7
3-Aug-19,9:22:34,2.3,0,3.1,1.7
3-Aug-19,9:23:34,1.8,0,3.6,1.9
3-Aug-19,9:24:34,0,0,2.8,1.2
3-Aug-19,9:25:34,3.6,0,5.5,1.7
3-Aug-19,9:26:34,0,0,2.4,0.7
3-Aug-19,9:27:34,3.7,0,3.7,1.1
3-Aug-19,9:28:34,0,0,4.1,0.9
3-Aug-19,9:29:34,0,0,0,0
3-Aug-19,9:30:34,2,0,2.3,0.2
3-Aug-19,9:31:34,1.5,0,3.5,1.9
3-Aug-19,9:32:34,0,0,2.8,1.2
3-Aug-19,9:33:34,1.8,0,2.3,1
3-Aug-19,9:34:35,0,0,3.4,1
3-Aug-19,9:35:35,0,0,2.5,1
3-Aug-19,9:36:35,4,0,4,1.5
3-Aug-19,9:37:35,3.8,2.1,5.9,3.3
3-Aug-19,9:38:35,1.5,0,4.9,2.2
3-Aug-19,9:39:35,1.8,0,5,2.5
3-Aug-19,9:40:35,0,0,4.6,2.4
3-Aug-19,9:41:35,4.5,0,4.9,2
3-Aug-19,9:42:35,2.5,0,5.4,3.3
3-Aug-19,9:43:35,1.5,0,6,3.3
3-Aug-19,9:44:35,3.5,0,3.9,2.4
3-Aug-19,9:45:35,0,0,5.2,2.6
3-Aug-19,9:46:35,0,0,2.7,1.1
3-Aug-19,9:47:35,1.7,0,3.4,1.7
3-Aug-19,9:48:35,1.3,0,4.1,2.1
3-Aug-19,9:49:35,1.8,0,3.1,1.7
3-Aug-19,9:50:35,0,0,2.5,0.8
3-Aug-19,9:51:35,1.7,0,2.7,1.1
3-Aug-19,9:52:35,0,0,3.2,1.4
3-Aug-19,9:53:35,2.3,0,3.4,1.1
3-Aug-19,9:54:35,1.3,0,3.5,1.2
3-Aug-19,9:55:35,0,0,3.6,1.6
3-Aug-19,9:56:35,1.8,0,4.2,2
3-Aug-19,9:57:35,1.7,0,5,2.5
3-Aug-19,9:58:35,3.1,0,3.2,2.2
3-Aug-19,9:59:35,3.3,0,4.5,2.4
3-Aug-19,10:00:35,0,0,5.4,2.5
3-Aug-19,10:01:35,2.5,0,3.3,1.4
3-Aug-19,10:02:35,2.8,0,3.6,1.8
3-Aug-19,10:03:35,3.5,2.1,7.5,3.7
3-Aug-19,10:04:35,2.7,0,4.5,3.4
3-Aug-19,10:05:35,2.4,0,4.4,2.2
3-Aug-19,10:06:35,0,0,3.7,1.2
3-Aug-19,10:07:35,3,0,3.5,1.7
3-Aug-19,10:08:35,1.6,0,4.9,2
3-Aug-19,10:09:35,0,0,4,1.9
3-Aug-19,10:10:35,2.1,0,4.2,2.2
3-Aug-19,10:11:35,3.6,0,6.6,3.2
3-Aug-19,10:12:35,3.4,0,4.6,3.2
3-Aug-19,10:13:35,5,0,6.1,3.6
3-Aug-19,10:14:35,4.3,0,5.8,4.1
3-Aug-19,10:15:35,4.5,2.9,7,4.6
3-Aug-19,10:16:35,7.2,2.5,7.5,4.4
3-Aug-19,10:17:35,3.1,2.9,6.3,4.7
3-Aug-19,10:18:35,3.8,2.2,5.2,3.6
3-Aug-19,10:19:35,1.8,1.8,5,3.7
3-Aug-19,10:20:35,3.2,1.8,6.9,3.7
3-Aug-19,10:21:35,3.7,0,5.6,3.6
3-Aug-19,10:22:35,6.6,2.6,9.8,5.5
3-Aug-19,10:23:35,4.9,3.5,11.9,7.2
3-Aug-19,10:24:35,4,3.1,7.5,5.6
3-Aug-19,10:25:35,4.6,3.5,6.7,4.7
3-Aug-19,10:26:35,3,2.2,4.9,3.6
3-Aug-19,10:27:35,4.1,2.2,4.7,3.3
3-Aug-19,10:28:35,3.3,0,5.6,3.5
3-Aug-19,10:29:35,4.8,0,4.8,2.8
3-Aug-19,10:30:35,4,0,6.3,3.8
3-Aug-19,10:31:35,4.7,3.1,8.9,5.1
3-Aug-19,10:32:35,0,0,7.1,3.6
3-Aug-19,10:33:35,3.9,0,5,3
3-Aug-19,10:34:35,0,0,4,2.3
3-Aug-19,10:35:35,3.7,0,7,2.9
3-Aug-19,10:36:35,0,0,6.9,3.8
3-Aug-19,10:37:28,0,0,4.6,1.3
**********************************************,,,,,
